Daily Statistics
      date  total_habits  avg_habits  std_habits  min_habits  max_habits  range_habits  total_habits_score  avg_habits_score  std_habits_score  min_habits_score  max_habits_score  range_habits_score  total_score
2023-03-15          32.0    0.888889    0.979148         0.0         4.0           4.0            1.364990          0.569935          0.123986               NaN          0.155583            0.155583     2.370076
2023-03-16          23.0    0.638889    0.798312         0.0         3.0           3.0            0.295466          0.278589          0.325380               NaN          0.289286            0.289286     1.478008
2023-03-17          24.0    0.648649    0.633167         0.0         2.0           2.0            0.414302          0.245463          0.735753               NaN          0.734155            0.734155     2.863829
2023-03-18          21.0    0.567568    0.647239         0.0         2.0           2.0            0.057795          0.520660          0.700785               NaN          0.734155            0.734155     2.747550
2023-03-19          30.0    0.810811    1.308898         0.0         7.0           7.0            1.127318          0.304931          0.943394               NaN          1.490189            1.490189     5.356021
2023-03-20          25.0    0.675676    0.747368         0.0         3.0           3.0            0.533138          0.153731          0.451972               NaN          0.289286            0.289286     1.717414
2023-03-21          26.0    0.702703    0.811886         0.0         3.0           3.0            0.651974          0.061999          0.291648               NaN          0.289286            0.289286     1.584194
2023-03-22          22.0    0.594595    0.762287         0.0         3.0           3.0            0.176630          0.428928          0.414900               NaN          0.289286            0.289286     1.599031
2023-03-23          17.0    0.459459    0.802586         0.0         4.0           4.0            0.417549          0.887590          0.314759               NaN          0.155583            0.155583     1.931063
2023-03-24          24.0    0.648649    1.033232         0.0         5.0           5.0            0.414302          0.245463          0.258381               NaN          0.600452            0.600452     2.119050
2023-03-25          35.0    0.945946    1.104183         0.0         5.0           5.0            1.721497          0.763593          0.434690               NaN          0.600452            0.600452     4.120683
2023-03-26          50.0    1.351351    2.382998         0.0        13.0          13.0            3.504036          2.139578          3.612464               NaN          4.159403            4.159403    17.574884
2023-03-27          33.0    0.891892    1.219831         0.0         5.0           5.0            1.483826          0.580128          0.722069               NaN          0.600452            0.600452     3.986925
2023-03-28           9.0    0.243243    0.494717         0.0         2.0           2.0            1.368236          1.621449          1.079794               NaN          0.734155            0.734155     5.537789
2022-10-02          26.0    1.238095    1.445848         0.0         6.0           6.0            0.651974          1.755176          1.283706               NaN          1.045320            1.045320     5.781497
2022-10-03          30.0    1.428571    1.502379         0.0         7.0           7.0            1.127318          2.401671          1.424182               NaN          1.490189            1.490189     7.933550
2022-10-04          31.0    1.347826    1.265224         0.0         5.0           5.0            1.246154          2.127613          0.834866               NaN          0.600452            0.600452     5.409536
2022-10-05          19.0    0.826087    0.716822         0.0         3.0           3.0            0.179877          0.356780          0.527876               NaN          0.289286            0.289286     1.643106
2022-10-06          16.0    0.695652    0.634950         0.0         2.0           2.0            0.536385          0.085929          0.731322               NaN          0.734155            0.734155     2.821947
2022-10-07          19.0    0.826087    0.716822         0.0         3.0           3.0            0.179877          0.356780          0.527876               NaN          0.289286            0.289286     1.643106
2022-10-08          24.0    1.043478    0.975997         0.0         4.0           4.0            0.414302          1.094627          0.116155               NaN          0.155583            0.155583     1.936250
2022-10-09          12.0    0.500000    0.659380         0.0         2.0           2.0            1.011729          0.749991          0.670615               NaN          0.734155            0.734155     3.900646
2022-10-10          11.0    0.458333    0.588230         0.0         2.0           2.0            1.130565          0.891412          0.847420               NaN          0.734155            0.734155     4.337707
2022-10-11          11.0    0.458333    0.588230         0.0         2.0           2.0            1.130565          0.891412          0.847420               NaN          0.734155            0.734155     4.337707
