2025-05-15 14:30:32,882 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansBengaliUI-Regular.ttf', name='Noto Sans Bengali UI', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSerifTibetan-Regular.ttf', name='Noto Serif Tibetan', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansLisu-Bold.ttf', name='Noto Sans Lisu', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansBamum-Bold.ttf', name='Noto Sans Bamum', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansKannadaUI-Regular.ttf', name='Noto Sans Kannada UI', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/opentype/noto/NotoSansCJK-Bold.ttc', name='Noto Sans CJK JP', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/lm/lmmonoltcond10-oblique.otf', name='Latin Modern Mono Light Cond', style='oblique', variant='normal', weight=400, stretch='condensed', size='scalable')) = 11.25
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansAnatolianHieroglyphs-Regular.ttf', name='Noto Sans Anatolian Hieroglyphs', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSerifCondensed-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='condensed', size='scalable')) = 11.535
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansDisplay-Italic.ttf', name='Noto Sans Display', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-05-15 14:30:32,885 - DEBUG - font_manager.py:1428 - _findfont_cached - findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansRejang-Regular.ttf', name='Noto Sans Rejang', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
